,drug_name,list_of_conditions,Inn_Name,Brand_Names,Type_Of_Action
125,ethinylestradiol,contraceptive,Ethinylestradiol,Chateal 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Annovera,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Annovera,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Ortho-novum 7/7/7 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Ortho-novum 7/7/7 28 Day,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Zarah,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Zarah,Modulator
125,ethinylestradiol,menopausal conditions,Ethinylestradiol,Falmina 28 Day,Modulator
125,ethinylestradiol,contraceptive,Ethinylestradiol,Falmina 28 Day,Modulator
129,mifepristone,diabetes,Mifepristone,Korlym,Modulator
130,aptazapine,depression,Aptazapine,,Antagonist
131,cimicoxib,depression,Cimicoxib,CIMALGEX,Modulator
135,agomelatine,depression,Agomelatine,THYMANAX,Agonist
135,agomelatine,depression,Agomelatine,VALDOXAN,Agonist
136,amineptine,depression,Amineptine,MANEON,Inhibitor
136,amineptine,depression,Amineptine,SURVECTOR (SERVIER),Inhibitor
136,amineptine,depression,Amineptine,DIRECTIM* VIASPERA*PROVECTOR*NEOLIOR,Inhibitor
137,amitriptyline,depression,Amitriptyline,AMITID,Inhibitor
137,amitriptyline,depression,Amitriptyline,ELAVIL* LIMBITROL*AMITRIPTYLINE HYDROCHLORIDE*ENDEP*TRIAVIL,Inhibitor
139,amoxapine,depression,Amoxapine,ASENDIN*AMOXAPINE*AMOXAN,Inhibitor
139,amoxapine,anxiety,Amoxapine,ASENDIN*AMOXAPINE*AMOXAN,Inhibitor
139,amoxapine,psychotic disorders,Amoxapine,ASENDIN*AMOXAPINE*AMOXAN,Inhibitor
140,benactyzine,depression,Benactyzine,MORCAIN,Antagonist
140,benactyzine,anxiety,Benactyzine,MORCAIN,Antagonist
140,benactyzine,depression,Benactyzine,CEDAD*PARASAN*NUTINAL*PHOBEX*LUCIDIL*CEVANOL*SUAVITIL* PHEBEX*DEPROL,Antagonist
140,benactyzine,anxiety,Benactyzine,CEDAD*PARASAN*NUTINAL*PHOBEX*LUCIDIL*CEVANOL*SUAVITIL* PHEBEX*DEPROL,Antagonist
143,brexanolone,depression,Brexanolone,ZULRESSO,Modulator
144,brexanolone,depression,Brexanolone,ZULRESSO,Inhibitor
149,brexpiprazole,depression,Brexpiprazole,REXULTI,Modulator
149,brexpiprazole,schizophrenia,Brexpiprazole,REXULTI,Modulator
151,bupropion,depression,Bupropion,CONTRAVE*ZYBAN*APLENZIN*FORFIVO*MYSIMBA*BUDEPRION*WELLBUTRIN,Inhibitor
153,citalopram,depression,Citalopram,CTP,Modulator
153,citalopram,depression,Citalopram,CELEXA,Modulator
154,clomipramine,obsessive compulsive disorder,Clomipramine,ANAFRANIL*ANAPRAMINE*HYDIPHEN,Inhibitor
155,cutamesine,depression,Cutamesine,,Agonist
155,cutamesine,stroke,Cutamesine,,Agonist
156,desipramine,depression,Desipramine,NORPRAMIN*DESIPRAMINE HYDROCHLORIDE,Inhibitor
157,desvenlafaxine,depression,Desvenlafaxine,DESVENLAFAXINE* DESVENEURAX*KHEDEZLA,Modulator
157,desvenlafaxine,depression,Desvenlafaxine,PRISTIQ,Modulator
158,dextromethorphan,depression,Dextromethorphan,DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Children's Nyquil Cold and Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Triaminic Day Time Cold & Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Coricidin Hbp Cough and Cold,Modulator
158,dextromethorphan,depression,Dextromethorphan,Robitussin Cough & Congestion,Modulator
158,dextromethorphan,depression,Dextromethorphan,Scot-tussin Diabetic CF,Modulator
158,dextromethorphan,depression,Dextromethorphan,Auvelity,Modulator
158,dextromethorphan,depression,Dextromethorphan,Benylin DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Bromfed DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Chloraseptic Sore Throat + Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Robitussin Nighttime Cough DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Robitussin 12 Hour Cough Relief,Modulator
158,dextromethorphan,depression,Dextromethorphan,Mucinex Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Broncotron,Modulator
158,dextromethorphan,depression,Dextromethorphan,Pediacare Children's Cough and Congestion,Modulator
158,dextromethorphan,depression,Dextromethorphan,Scot-tussin DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Mucinex Children's Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Creomulsion,Modulator
158,dextromethorphan,depression,Dextromethorphan,Delsym Cough Relief Plus Soothing Action,Modulator
158,dextromethorphan,depression,Dextromethorphan,Delsym,Modulator
158,dextromethorphan,depression,Dextromethorphan,Robitussin Pediatric Cough & Cold LA,Modulator
158,dextromethorphan,depression,Dextromethorphan,Delsym Cough Plus Soothing Action,Modulator
158,dextromethorphan,depression,Dextromethorphan,Dayquil Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Dimetapp Long Acting Cough Plus Cold,Modulator
158,dextromethorphan,depression,Dextromethorphan,Tusnel Diabetic,Modulator
158,dextromethorphan,depression,Dextromethorphan,Mucinex DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Diabetic Tussin DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Cepacol Sore Throat Plus Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Robafen DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Promethazine DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Scot-tussin Sugar Free DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Coricidin Hbp Chest Congestion,Modulator
158,dextromethorphan,depression,Dextromethorphan,Safetussin PM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Despec Reformulated Jun 2008,Modulator
158,dextromethorphan,depression,Dextromethorphan,Delsym Cough Plus Chest Congestion DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Diphen,Modulator
158,dextromethorphan,depression,Dextromethorphan,Sudafed PE Children's Cold & Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,G-zyncof,Modulator
158,dextromethorphan,depression,Dextromethorphan,Nyquil Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Robafen Cough,Modulator
158,dextromethorphan,depression,Dextromethorphan,Cheracol D,Modulator
158,dextromethorphan,depression,Dextromethorphan,Safetussin DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Robitussin Maximum Strength Cough Plus Chest Congestion DM,Modulator
158,dextromethorphan,depression,Dextromethorphan,Robitussin Pediatric Cough Suppressant,Modulator
158,dextromethorphan,depression,Dextromethorphan,Nuedexta,Modulator
160,doxepin,depression,Doxepin,SILENOR*ZONALON,Inhibitor
160,doxepin,anxiety,Doxepin,SILENOR*ZONALON,Inhibitor
160,doxepin,psychotic disorders,Doxepin,SILENOR*ZONALON,Inhibitor
160,doxepin,alcohol addiction,Doxepin,SILENOR*ZONALON,Inhibitor
160,doxepin,depression,Doxepin,PRUDOXIN* SINEQUAN,Inhibitor
160,doxepin,anxiety,Doxepin,PRUDOXIN* SINEQUAN,Inhibitor
160,doxepin,psychotic disorders,Doxepin,PRUDOXIN* SINEQUAN,Inhibitor
160,doxepin,alcohol addiction,Doxepin,PRUDOXIN* SINEQUAN,Inhibitor
161,duloxetine,depression,Duloxetine,DRIZALMA*IRENKA*DULOXETINE HYDROCHLORIDE*NODETRIP*YENTREVE,Inhibitor
161,duloxetine,anxiety,Duloxetine,DRIZALMA*IRENKA*DULOXETINE HYDROCHLORIDE*NODETRIP*YENTREVE,Inhibitor
161,duloxetine,diabetes,Duloxetine,DRIZALMA*IRENKA*DULOXETINE HYDROCHLORIDE*NODETRIP*YENTREVE,Inhibitor
161,duloxetine,depression,Duloxetine,CYMBALTA*ARICLAIM*DRIZALMA SPRINKLE,Inhibitor
161,duloxetine,anxiety,Duloxetine,CYMBALTA*ARICLAIM*DRIZALMA SPRINKLE,Inhibitor
161,duloxetine,diabetes,Duloxetine,CYMBALTA*ARICLAIM*DRIZALMA SPRINKLE,Inhibitor
163,escitalopram,depression,Escitalopram,ESCITALOPRAM*LEXAPRO,Inhibitor
163,escitalopram,anxiety,Escitalopram,ESCITALOPRAM*LEXAPRO,Inhibitor
163,escitalopram,depression,Escitalopram,CIPRALEX,Inhibitor
163,escitalopram,anxiety,Escitalopram,CIPRALEX,Inhibitor
164,esketamine,depression,Esketamine,SPRAVATO,Antagonist
166,fluoxetine,depression,Fluoxetine,SARAFEM,Modulator
166,fluoxetine,panic disorders,Fluoxetine,SARAFEM,Modulator
166,fluoxetine,bipolar disorder,Fluoxetine,SARAFEM,Modulator
166,fluoxetine,bulimia,Fluoxetine,SARAFEM,Modulator
166,fluoxetine,depression,Fluoxetine,ACT FLUOXETINE* PROZAC*SYMBYAX,Modulator
166,fluoxetine,panic disorders,Fluoxetine,ACT FLUOXETINE* PROZAC*SYMBYAX,Modulator
166,fluoxetine,bipolar disorder,Fluoxetine,ACT FLUOXETINE* PROZAC*SYMBYAX,Modulator
166,fluoxetine,bulimia,Fluoxetine,ACT FLUOXETINE* PROZAC*SYMBYAX,Modulator
167,fluvoxamine,depression,Fluvoxamine,FLUVOXAMINE MALEATE*LUVOX,Inhibitor
167,fluvoxamine,obsessive compulsive disorder,Fluvoxamine,FLUVOXAMINE MALEATE*LUVOX,Inhibitor
168,gamma hydroxybutyric acid,depression,gamma-Hydroxybutyric acid,XYWAV,Modulator
168,gamma hydroxybutyric acid,insomnia,gamma-Hydroxybutyric acid,XYWAV,Modulator
168,gamma hydroxybutyric acid,narcolepsy,gamma-Hydroxybutyric acid,XYWAV,Modulator
168,gamma hydroxybutyric acid,alcohol addiction,gamma-Hydroxybutyric acid,XYWAV,Modulator
168,gamma hydroxybutyric acid,anesthetic,gamma-Hydroxybutyric acid,XYWAV,Modulator
169,imipramine,depression,Imipramine,IMIPRAMINE PAMOATE*SURMONTIL* PRESAMINE*TOFRANIL-PM*TRIMIPRAMINE MALEATE*IMIPRAMINE HYDROCHLORIDE,Inhibitor
169,imipramine,depression,Imipramine,TOFRANIL,Inhibitor
170,iproniazid,depression,Iproniazid,MARSILID,Inhibitor
172,isocarboxazid,depression,Isocarboxazid,MARPLAN,Inhibitor
175,levomilnacipran,depression,Levomilnacipran,FETZIMA,Modulator
179,maprotiline,depression,Maprotiline,LUDIOMIL*MAPROTILINE HYDROCHLORIDE,Inhibitor
179,maprotiline,anxiety,Maprotiline,LUDIOMIL*MAPROTILINE HYDROCHLORIDE,Inhibitor
180,minaprine,depression,Minaprine,CANTOR,Antagonist
180,minaprine,depression,Minaprine,BRANTUR*ISOPULSAN,Antagonist
181,mirtazapine,depression,Mirtazapine,REMERON*MIRATAZ,Antagonist
182,moclobemide,depression,Moclobemide,MANERIX,Inhibitor
182,moclobemide,bipolar disorder,Moclobemide,MANERIX,Inhibitor
184,nd1251,depression,,,Agonist
185,nd1251,depression,,,Inhibitor
186,nortriptyline,depression,Nortriptyline,PAMELOR,Modulator
186,nortriptyline,depression,Nortriptyline,AVENTYL,Modulator
187,org-34517,depression,,,Antagonist
188,osanetant,depression,Osanetant,,Antagonist
188,osanetant,schizophrenia,Osanetant,,Antagonist
189,oxitriptan,depression,Oxitriptan,TRIPTUM*TRIPT-OH*LEVOTONINE*LEVOTHYM*OXYFAN,
189,oxitriptan,depression,Oxitriptan,CINCOFARM*TELESOL,
190,paroxetine,depression,Paroxetine,PAXIL,Modulator
190,paroxetine,anxiety,Paroxetine,PAXIL,Modulator
190,paroxetine,panic disorders,Paroxetine,PAXIL,Modulator
190,paroxetine,menopausal conditions,Paroxetine,PAXIL,Modulator
190,paroxetine,obsessive compulsive disorder,Paroxetine,PAXIL,Modulator
190,paroxetine,depression,Paroxetine,BRISDELLE*PEXEVA,Modulator
190,paroxetine,anxiety,Paroxetine,BRISDELLE*PEXEVA,Modulator
190,paroxetine,panic disorders,Paroxetine,BRISDELLE*PEXEVA,Modulator
190,paroxetine,menopausal conditions,Paroxetine,BRISDELLE*PEXEVA,Modulator
190,paroxetine,obsessive compulsive disorder,Paroxetine,BRISDELLE*PEXEVA,Modulator
191,progabide,depression,Progabide,GABREN*GABRENE,Agonist
191,progabide,anxiety,Progabide,GABREN*GABRENE,Agonist
191,progabide,epilepsy,Progabide,GABREN*GABRENE,Agonist
191,progabide,schizophrenia,Progabide,GABREN*GABRENE,Agonist
191,progabide,parkinson's disease,Progabide,GABREN*GABRENE,Agonist
192,protriptyline,depression,Protriptyline,PROTRIPTYLINE HYDROCHLORIDE* MK-240*VIVACTIL*CONCORDIN,Inhibitor
192,protriptyline,depression,Protriptyline,AMIMETHYLINE,Inhibitor
193,r1204,depression,,,Modulator
194,selegiline,parkinson's disease,Selegiline,ZELAPAR,Inhibitor
194,selegiline,parkinson's disease,Selegiline,EMSAM* SELEGILINE HYDROCHLORIDE,Inhibitor
196,selegiline,parkinson's disease,Selegiline,ZELAPAR,Antagonist
196,selegiline,parkinson's disease,Selegiline,EMSAM* SELEGILINE HYDROCHLORIDE,Antagonist
197,setiptiline,depression,Setiptiline,TECIPUL,Antagonist
199,toloxatone,depression,Toloxatone,HUMORYL,Inhibitor
201,tranylcypromine,depression,Tranylcypromine,PARNATE*TRANYLCYPROMINE SULFATE,Inhibitor
204,trazodone,depression,Trazodone,DESYREL*RESLIN,Modulator
204,trazodone,depression,Trazodone,OLEPTRO*TRIALODINE,Modulator
206,trimipramine,depression,Trimipramine,SAPILENT*SURMONTIL,Inhibitor
206,trimipramine,depression,Trimipramine,RHOTRIMINE*TRIMIPRAMINE MALEATE,Inhibitor
207,vilazodone,depression,Vilazodone,VIIBRYD,Modulator
209,vortioxetine,depression,Vortioxetine,TRINTELLIX,Inhibitor
209,vortioxetine,depression,Vortioxetine,BRINTELLIX,Inhibitor
211,insulin human,diabetes,Insulin human,Novolin N,Binder
211,insulin human,diabetes,Insulin human,Insuman,Binder
211,insulin human,diabetes,Insulin human,Afrezza,Binder
211,insulin human,diabetes,Insulin human,Insulatard,Binder
211,insulin human,diabetes,Insulin human,Humulin R,Binder
211,insulin human,diabetes,Insulin human,Actraphane,Binder
211,insulin human,diabetes,Insulin human,Humulin,Binder
211,insulin human,diabetes,Insulin human,Humulin N,Binder
211,insulin human,diabetes,Insulin human,Novolin R,Binder
211,insulin human,diabetes,Insulin human,Exubera,Binder
211,insulin human,diabetes,Insulin human,Actrapid,Binder
211,insulin human,diabetes,Insulin human,Myxredlin,Binder
211,insulin human,diabetes,Insulin human,Entuzity,Binder
211,insulin human,diabetes,Insulin human,Novolin,Binder
213,acamprosate,alcohol addiction,Acamprosate,CAMPRAL*ACAMPROSATE CALCIUM,Positive Modulator
214,acamprosate,alcohol addiction,Acamprosate,CAMPRAL*ACAMPROSATE CALCIUM,Agonist
216,naltrexone,alcohol addiction,Naltrexone,CONTRAVE*NALTREXONE HYDROCHLORIDE*NALDIX*REVIA*MYSIMBA*EMBEDA*VIVITROL,Antagonist
217,caffeine,depression,Caffeine,BC ORIGINAL FORMULA,Antagonist
217,caffeine,depression,Caffeine,DIUREX,Antagonist
217,caffeine,depression,Caffeine,VANATOL S,Antagonist
217,caffeine,depression,Caffeine,VTOL,Antagonist
217,caffeine,depression,Caffeine,VANQUISH,Antagonist
217,caffeine,depression,Caffeine,ESGIC,Antagonist
217,caffeine,depression,Caffeine,EXAPRIN,Antagonist
217,caffeine,depression,Caffeine,MIDOL COMPLETE,Antagonist
217,caffeine,depression,Caffeine,PEYONA,Antagonist
217,caffeine,depression,Caffeine,FIORINAL,Antagonist
217,caffeine,depression,Caffeine,ARTHRITEN INFLAMMATORY PAIN,Antagonist
217,caffeine,depression,Caffeine,ANACIN,Antagonist
217,caffeine,depression,Caffeine,ZEBUTAL,Antagonist
217,caffeine,depression,Caffeine,DVORAH,Antagonist
217,caffeine,depression,Caffeine,MIGERGOT,Antagonist
217,caffeine,depression,Caffeine,TRIANAL,Antagonist
217,caffeine,depression,Caffeine,BC ARTHRITIS,Antagonist
217,caffeine,depression,Caffeine,ORBIVAN,Antagonist
217,caffeine,depression,Caffeine,FIORICET,Antagonist
217,caffeine,depression,Caffeine,TRIANAL C,Antagonist
217,caffeine,depression,Caffeine,EXCEDRIN,Antagonist
217,caffeine,depression,Caffeine,ORPHENGESIC,Antagonist
217,caffeine,depression,Caffeine,TREZIX,Antagonist
217,caffeine,depression,Caffeine,MIDOL CRAMPS & BODYACHES,Antagonist
217,caffeine,depression,Caffeine,CAFCIT,Antagonist
217,caffeine,depression,Caffeine,ASCOMP,Antagonist
217,caffeine,depression,Caffeine,NORGESIC FORTE,Antagonist
217,caffeine,depression,Caffeine,GOODY'S HEADACHE RELIEF SHOT,Antagonist
217,caffeine,depression,Caffeine,CAFERGOT,Antagonist
217,caffeine,depression,Caffeine,GOODY'S PM,Antagonist
217,caffeine,depression,Caffeine,VANATOL,Antagonist
217,caffeine,depression,Caffeine,EXCEDRIN TENSION HEADACHE,Antagonist
217,caffeine,depression,Caffeine,VIVARIN,Antagonist
217,caffeine,depression,Caffeine,TRIATEC-8,Antagonist
217,caffeine,depression,Caffeine,FIORICET WITH CODEINE,Antagonist
217,caffeine,depression,Caffeine,GOODY'S EXTRA STRENGTH,Antagonist
217,caffeine,depression,Caffeine,PAMPRIN MAX FORMULA,Antagonist
217,caffeine,depression,Caffeine,STANBACK HEADACHE POWDER REFORMULATED JAN 2011,Antagonist
217,caffeine,depression,Caffeine,TRIATEC,Antagonist
219,carbamazepine,seizures,Carbamazepine,Tegretol,Modulator
219,carbamazepine,analgesic,Carbamazepine,Tegretol,Modulator
219,carbamazepine,seizures,Carbamazepine,Carnexiv,Modulator
219,carbamazepine,analgesic,Carbamazepine,Carnexiv,Modulator
219,carbamazepine,seizures,Carbamazepine,Equetro,Modulator
219,carbamazepine,analgesic,Carbamazepine,Equetro,Modulator
219,carbamazepine,seizures,Carbamazepine,Carbatrol,Modulator
219,carbamazepine,analgesic,Carbamazepine,Carbatrol,Modulator
219,carbamazepine,seizures,Carbamazepine,Epitol,Modulator
219,carbamazepine,analgesic,Carbamazepine,Epitol,Modulator
221,lidocaine,anesthetic,Lidocaine,Band-aid Hurt-free,Blocker
221,lidocaine,anesthetic,Lidocaine,Lido-prilo Caine Pack,Blocker
221,lidocaine,anesthetic,Lidocaine,Readysharp-p80,Blocker
221,lidocaine,anesthetic,Lidocaine,Instillagel,Blocker
221,lidocaine,anesthetic,Lidocaine,Alivio,Blocker
221,lidocaine,anesthetic,Lidocaine,Octocaine With Epinephrine,Blocker
221,lidocaine,anesthetic,Lidocaine,Triple Antibiotic,Blocker
221,lidocaine,anesthetic,Lidocaine,Viadur,Blocker
221,lidocaine,anesthetic,Lidocaine,Xylocaine With Epinephrine,Blocker
221,lidocaine,anesthetic,Lidocaine,Xylocard,Blocker
221,lidocaine,anesthetic,Lidocaine,Cathejell,Blocker
221,lidocaine,anesthetic,Lidocaine,Relador,Blocker
221,lidocaine,anesthetic,Lidocaine,Fortacin,Blocker
221,lidocaine,anesthetic,Lidocaine,Max-freeze,Blocker
221,lidocaine,anesthetic,Lidocaine,Venipuncture Px1,Blocker
221,lidocaine,anesthetic,Lidocaine,Curacaine,Blocker
221,lidocaine,anesthetic,Lidocaine,Lignospan,Blocker
221,lidocaine,anesthetic,Lidocaine,Octocaine,Blocker
221,lidocaine,anesthetic,Lidocaine,Oraqix,Blocker
221,lidocaine,anesthetic,Lidocaine,Dermacinrx Prikaan,Blocker
221,lidocaine,anesthetic,Lidocaine,Readysharp-p40,Blocker
221,lidocaine,anesthetic,Lidocaine,Xylocaine,Blocker
221,lidocaine,anesthetic,Lidocaine,P-care,Blocker
221,lidocaine,anesthetic,Lidocaine,Anodyne Lpt,Blocker
221,lidocaine,anesthetic,Lidocaine,Procomycin,Blocker
221,lidocaine,anesthetic,Lidocaine,Lidopril,Blocker
221,lidocaine,anesthetic,Lidocaine,Xylonor,Blocker
221,lidocaine,anesthetic,Lidocaine,Emla,Blocker
221,lidocaine,anesthetic,Lidocaine,Marcaine,Blocker
221,lidocaine,anesthetic,Lidocaine,Synera,Blocker
221,lidocaine,anesthetic,Lidocaine,Lidotral,Blocker
221,lidocaine,anesthetic,Lidocaine,Dermacinrx Lido V Pak,Blocker
221,lidocaine,anesthetic,Lidocaine,P-care X,Blocker
221,lidocaine,anesthetic,Lidocaine,Lidodan,Blocker
221,lidocaine,anesthetic,Lidocaine,Lidopro,Blocker
221,lidocaine,anesthetic,Lidocaine,Medi-derm With Lidocaine,Blocker
221,lidocaine,anesthetic,Lidocaine,Neo-bex,Blocker
221,lidocaine,anesthetic,Lidocaine,Depo-medrol With Lidocaine,Blocker
221,lidocaine,anesthetic,Lidocaine,Ztlido,Blocker
221,lidocaine,anesthetic,Lidocaine,Diphen,Blocker
221,lidocaine,anesthetic,Lidocaine,Lidothol,Blocker
221,lidocaine,anesthetic,Lidocaine,Astero,Blocker
221,lidocaine,anesthetic,Lidocaine,Pliaglis,Blocker
221,lidocaine,anesthetic,Lidocaine,Anestacon,Blocker
221,lidocaine,anesthetic,Lidocaine,Lido Bdk,Blocker
221,lidocaine,anesthetic,Lidocaine,Zingo,Blocker
221,lidocaine,anesthetic,Lidocaine,Akten,Blocker
221,lidocaine,anesthetic,Lidocaine,Prizotral,Blocker
221,lidocaine,anesthetic,Lidocaine,Lidopac,Blocker
221,lidocaine,anesthetic,Lidocaine,Kenalog,Blocker
221,lidocaine,anesthetic,Lidocaine,Agoneaze,Blocker
221,lidocaine,anesthetic,Lidocaine,Glydo,Blocker
221,lidocaine,anesthetic,Lidocaine,Lidoderm,Blocker
221,lidocaine,anesthetic,Lidocaine,Readysharp-A,Blocker
221,lidocaine,anesthetic,Lidocaine,Readysharp Anesthetics Plus Ketorolac,Blocker
221,lidocaine,anesthetic,Lidocaine,Dermacinrx Phn Pak,Blocker
221,lidocaine,anesthetic,Lidocaine,Prilolid,Blocker
222,sertraline,depression,Sertraline,SERTRALINE HYDROCHLORIDE,Inhibitor
222,sertraline,anxiety,Sertraline,SERTRALINE HYDROCHLORIDE,Inhibitor
222,sertraline,panic disorders,Sertraline,SERTRALINE HYDROCHLORIDE,Inhibitor
222,sertraline,obsessive compulsive disorder,Sertraline,SERTRALINE HYDROCHLORIDE,Inhibitor
222,sertraline,depression,Sertraline,ZOLOFT,Inhibitor
222,sertraline,anxiety,Sertraline,ZOLOFT,Inhibitor
222,sertraline,panic disorders,Sertraline,ZOLOFT,Inhibitor
222,sertraline,obsessive compulsive disorder,Sertraline,ZOLOFT,Inhibitor
223,donepezil,alzheimer's disease,Donepezil,Aricept,Modulator
223,donepezil,alzheimer's disease,Donepezil,Namzaric,Modulator
223,donepezil,alzheimer's disease,Donepezil,Adlarity,Modulator
224,galantamine,alzheimer's disease,Galantamine,RAZADYNE,Inhibitor
225,huperzine a,alzheimer's disease,Huperzine A,,Inhibitor
226,huperzine a,alzheimer's disease,Huperzine A,,Antagonist
227,memantine,alzheimer's disease,Memantine,NAMENDA 49 TITRATION PACK,Modulator
227,memantine,alzheimer's disease,Memantine,MARIXINO,Modulator
227,memantine,alzheimer's disease,Memantine,AXURA,Modulator
227,memantine,alzheimer's disease,Memantine,NAMZARIC,Modulator
227,memantine,alzheimer's disease,Memantine,NAMENDA,Modulator
227,memantine,alzheimer's disease,Memantine,EBIXA,Modulator
228,rivastigmine,alzheimer's disease,Rivastigmine,EXELON,Modulator
228,rivastigmine,alzheimer's disease,Rivastigmine,NIMVASTID,Modulator
228,rivastigmine,alzheimer's disease,Rivastigmine,PROMETAX,Modulator
229,tacrine,alzheimer's disease,Tacrine,TACRINE,Inhibitor
230,tiapride,alcohol addiction,Tiapride,,Inhibitor
231,tiapride,alcohol addiction,Tiapride,,Antagonist
234,desmopressin,diabetes,Desmopressin,Ddavp,Agonist
234,desmopressin,diabetes,Desmopressin,Nocdurna,Agonist
234,desmopressin,diabetes,Desmopressin,Octostim,Agonist
235,desmopressin,diabetes,Desmopressin,Ddavp,Modulator
235,desmopressin,diabetes,Desmopressin,Nocdurna,Modulator
235,desmopressin,diabetes,Desmopressin,Octostim,Modulator
239,medroxyprogesterone acetate,menopausal conditions,Medroxyprogesterone acetate,Provera,Agonist
239,medroxyprogesterone acetate,menopausal conditions,Medroxyprogesterone acetate,Depo-provera,Agonist
239,medroxyprogesterone acetate,menopausal conditions,Medroxyprogesterone acetate,Prempro 0.625/2.5 28 Day,Agonist
239,medroxyprogesterone acetate,menopausal conditions,Medroxyprogesterone acetate,Premphase 28 Day,Agonist
239,medroxyprogesterone acetate,menopausal conditions,Medroxyprogesterone acetate,Depo-subq Provera,Agonist
240,progesterone,menopausal conditions,Progesterone,Gesterol,Agonist
240,progesterone,cancer,Progesterone,Gesterol,Agonist
240,progesterone,contraceptive,Progesterone,Gesterol,Agonist
240,progesterone,menopausal conditions,Progesterone,Milprosa,Agonist
240,progesterone,cancer,Progesterone,Milprosa,Agonist
240,progesterone,contraceptive,Progesterone,Milprosa,Agonist
240,progesterone,menopausal conditions,Progesterone,Regumate,Agonist
240,progesterone,cancer,Progesterone,Regumate,Agonist
240,progesterone,contraceptive,Progesterone,Regumate,Agonist
240,progesterone,menopausal conditions,Progesterone,Crinone,Agonist
240,progesterone,cancer,Progesterone,Crinone,Agonist
240,progesterone,contraceptive,Progesterone,Crinone,Agonist
240,progesterone,menopausal conditions,Progesterone,Progesterone,Agonist
240,progesterone,cancer,Progesterone,Progesterone,Agonist
240,progesterone,contraceptive,Progesterone,Progesterone,Agonist
240,progesterone,menopausal conditions,Progesterone,Progestin,Agonist
240,progesterone,cancer,Progesterone,Progestin,Agonist
240,progesterone,contraceptive,Progesterone,Progestin,Agonist
240,progesterone,menopausal conditions,Progesterone,Syngestrone,Agonist
240,progesterone,cancer,Progesterone,Syngestrone,Agonist
240,progesterone,contraceptive,Progesterone,Syngestrone,Agonist
240,progesterone,menopausal conditions,Progesterone,Prochieve,Agonist
240,progesterone,cancer,Progesterone,Prochieve,Agonist
240,progesterone,contraceptive,Progesterone,Prochieve,Agonist
240,progesterone,menopausal conditions,Progesterone,Progesta-care,Agonist
240,progesterone,cancer,Progesterone,Progesta-care,Agonist
240,progesterone,contraceptive,Progesterone,Progesta-care,Agonist
240,progesterone,menopausal conditions,Progesterone,Serenity for women,Agonist
240,progesterone,cancer,Progesterone,Serenity for women,Agonist
240,progesterone,contraceptive,Progesterone,Serenity for women,Agonist
240,progesterone,menopausal conditions,Progesterone,Utrogestan,Agonist
240,progesterone,cancer,Progesterone,Utrogestan,Agonist
240,progesterone,contraceptive,Progesterone,Utrogestan,Agonist
240,progesterone,menopausal conditions,Progesterone,Lutigest,Agonist
240,progesterone,cancer,Progesterone,Lutigest,Agonist
240,progesterone,contraceptive,Progesterone,Lutigest,Agonist
240,progesterone,menopausal conditions,Progesterone,Progestasert,Agonist
240,progesterone,cancer,Progesterone,Progestasert,Agonist
240,progesterone,contraceptive,Progesterone,Progestasert,Agonist
240,progesterone,menopausal conditions,Progesterone,Cyclogest,Agonist
240,progesterone,cancer,Progesterone,Cyclogest,Agonist
240,progesterone,contraceptive,Progesterone,Cyclogest,Agonist
240,progesterone,menopausal conditions,Progesterone,Prometrium,Agonist
240,progesterone,cancer,Progesterone,Prometrium,Agonist
240,progesterone,contraceptive,Progesterone,Prometrium,Agonist
240,progesterone,menopausal conditions,Progesterone,Endometrin,Agonist
240,progesterone,cancer,Progesterone,Endometrin,Agonist
